country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB",06-04-2025,13.328028,75.797056,NO2,NA,NA,NA
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB",06-04-2025,13.328028,75.797056,NH3,NA,NA,NA
India,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB",06-04-2025,14.4758,75.9052,NH3,2,2,2
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB",06-04-2025,15.459706,75.008381,PM10,45,61,54
India,Karnataka,Gadag,"Panchal Nagar, Gadag - KSPCB",06-04-2025,15.411456,75.638133,NO2,4,21,13
India,Karnataka,Gadag,"Panchal Nagar, Gadag - KSPCB",06-04-2025,15.411456,75.638133,OZONE,18,40,30
India,Karnataka,Haveri,"Ashwini Nagar, Haveri - KSPCB",06-04-2025,14.7918,75.3896,OZONE,17,17,17
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB",06-04-2025,15.3714823,75.1160168,SO2,2,3,2
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB",06-04-2025,12.415911,75.73505,SO2,4,4,4
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB",06-04-2025,12.415911,75.73505,OZONE,3,7,5
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB",06-04-2025,12.88925,74.853,PM2.5,33,47,38
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB",06-04-2025,12.88925,74.853,CO,22,34,28
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",06-04-2025,12.990328,77.5431385,NO2,21,32,24
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",06-04-2025,13.0246342,77.5080115,SO2,4,10,6
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",06-04-2025,12.917348,77.622813,NH3,1,5,3
India,Karnataka,Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",06-04-2025,17.321993,76.822628,PM10,42,109,73
India,Karnataka,Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",06-04-2025,17.321993,76.822628,NH3,3,5,3
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB",06-04-2025,13.428828,77.731418,NH3,3,4,3
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB",06-04-2025,13.428828,77.731418,CO,10,18,17
India,Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB",06-04-2025,15.34763,76.181767,PM2.5,10,35,18
